feature,padj,fold,model
INAFM2,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=5
ANKRD44-IT1,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=5
AC025580.2,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=5
C2orf92,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=5
AL031594.1,0.48848470208865374,2,RF_max_depth=4_min_samples_leaf=5
LINC02395,0.48848470208865374,2,RF_max_depth=4_min_samples_leaf=5
C17orf113,0.48848470208865374,2,RF_max_depth=4_min_samples_leaf=5
AC008395.1,0.48848470208865374,2,RF_max_depth=4_min_samples_leaf=5
AC016355.1,0.48848470208865374,2,RF_max_depth=4_min_samples_leaf=5
AL445235.1,0.48848470208865374,2,RF_max_depth=4_min_samples_leaf=5
PCSK6-AS1,0.5927450678757099,2,RF_max_depth=4_min_samples_leaf=5
AC135731.1,0.5927450678757099,2,RF_max_depth=4_min_samples_leaf=5
AP005131.1,0.5927450678757099,2,RF_max_depth=4_min_samples_leaf=5
EGLN2,0.5927450678757099,2,RF_max_depth=4_min_samples_leaf=5
AC102953.2,0.5927450678757099,2,RF_max_depth=4_min_samples_leaf=5
AL122035.2,0.6503490733822863,2,RF_max_depth=4_min_samples_leaf=5
PRKAR2A-AS1,0.6933838234346996,2,RF_max_depth=4_min_samples_leaf=5
AC010999.3,0.9223882615041615,3,RF_max_depth=4_min_samples_leaf=5
AC135731.1,0.9658131512169129,3,RF_max_depth=4_min_samples_leaf=5
CYP51A1,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
ANKIB1,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
CFTR,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
SEMA3F,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
ENPP4,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
LAS1L,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
NIPAL3,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
STPG1,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
TSPAN6,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
FUCA2,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
CFH,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
FGR,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
C1orf112,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
SCYL3,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
DPM1,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
TNMD,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
GCLC,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
NFYA,0.9999744098911479,3,RF_max_depth=4_min_samples_leaf=5
DEFB106A,7.295420126603929e-16,1,RF_max_depth=4_min_samples_leaf=10
KRTDAP,1.7600407918496227e-05,1,RF_max_depth=4_min_samples_leaf=10
AL138889.1,0.029376247814866537,1,RF_max_depth=4_min_samples_leaf=10
SUN3,0.052474126103953384,1,RF_max_depth=4_min_samples_leaf=10
AC100788.2,0.060183753048711174,1,RF_max_depth=4_min_samples_leaf=10
AC073548.1,0.060183753048711174,1,RF_max_depth=4_min_samples_leaf=10
PJVK,0.06518715825259544,1,RF_max_depth=4_min_samples_leaf=10
CAMK2N2,0.06853992663304975,1,RF_max_depth=4_min_samples_leaf=10
DLX6-AS1,0.15514775516845358,1,RF_max_depth=4_min_samples_leaf=10
AL353796.1,0.1672451779755188,1,RF_max_depth=4_min_samples_leaf=10
AL158835.2,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=10
CCDC26,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=10
LIX1L-AS1,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=10
LINC00514,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=10
RN7SL525P,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=10
AC005005.4,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=10
AC026523.2,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=10
PCA3,0.19453074296233613,1,RF_max_depth=4_min_samples_leaf=10
ARHGEF26-AS1,0.25946086390570494,1,RF_max_depth=4_min_samples_leaf=10
INAFM2,0.25946086390570494,1,RF_max_depth=4_min_samples_leaf=10
AL449283.1,0.0006220995539017461,2,RF_max_depth=4_min_samples_leaf=10
OR9K1P,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=10
AC006538.1,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=10
INAFM2,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=10
ANKRD44-IT1,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=10
AC025580.2,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=10
C2orf92,0.3189450340015488,2,RF_max_depth=4_min_samples_leaf=10
